 0.2,  0.2,  1.0, .434, .877, .504
 0.2,  0.4,  1.0, .434, .892, .499
 0.2,  0.6,  1.0, .433, .883, .507
 0.2,  0.8,  1.0, .432, .876, .506
 0.2,  1.0,  1.0, .431, .869, .508
 0.4,  0.2,  1.0, .433, .892, .503
 0.4,  0.4,  1.0, .431, .935, .483
 0.4,  0.6,  1.0, .431, .944, 0.48
 0.4,  0.8,  1.0, .431, .933, .485
 0.4,  1.0,  1.0, 0.43, .912, .488
 0.6,  0.2,  1.0, .433, .873, .508
 0.6,  0.4,  1.0, .431, .941, .481
 0.6,  0.6,  1.0, .429, .965, .462
 0.6,  0.8,  1.0, .427, 0.97, 0.46
 0.6,  1.0,  1.0, .428, .961, .465
 0.8,  0.2,  1.0, .432, .859, .508
 0.8,  0.4,  1.0, .431, .929, .486
 0.8,  0.6, .9999, .428, .964, .463
 0.8,  0.8,  1.0, .427, .971, .453
 0.8,  1.0,  1.0, .426, .969, .453
 1.0,  0.2,  1.0, .431, .859, .505
 1.0,  0.4,  1.0, .431, .914, .488
 1.0,  0.6,  1.0, .428, .956, .464
 1.0,  0.8,  1.0, .427, .969, .452
 1.0,  1.0,  1.0, .426, .967, 0.45

