D1, D2, Con/ACC, Con/RT, In/ACC, In/RT
 0.1,  0.2,  1.0, .429,  0.7, .494
 0.1,  0.2,  1.0, .422, 0.68, .504
 0.1,  0.2,  1.0, .427, 0.74, .521
 0.1,  0.2,  1.0, .433, 0.78, .522
 0.1,  0.2,  1.0, .427, 0.72, .508
 0.1,  0.2,  1.0, .428, 0.72, .502
 0.1,  0.2,  1.0, 0.43, 0.68, .514
 0.1,  0.2,  1.0, .427, 0.78, .513
 0.1,  0.2,  1.0, .424, 0.76, .514
 0.1,  0.2,  1.0, .429, 0.72, .498
 0.1,  0.2,  1.0, .422, 0.66, .558
 0.1,  0.2,  1.0, .428, 0.68, .514
 0.1,  0.2,  1.0, .429, 0.76, .498
 0.1,  0.2,  1.0, .437, 0.76, .513
 0.1,  0.2,  1.0, .427, 0.82, .519
 0.1,  0.2,  1.0, .424,  0.8, .487
 0.1,  0.2,  1.0, .435, .828, 0.54
 0.1,  0.2,  1.0, .428, 0.72, .474
 0.1,  0.2,  1.0, .427, 0.72, .509
 0.1,  0.2,  1.0, 0.42, 0.78, .531
 0.1,  0.2,  1.0, .426, 0.82, .516
 0.1,  0.2,  1.0, .431, 0.62, .541
 0.1,  0.2,  1.0, 0.43, 0.76, .524
 0.1,  0.2,  1.0, .423, 0.72, .554
 0.1,  0.2,  1.0, .423,  0.8, .542
 0.1,  0.2,  1.0, .427, 0.82, .497
 0.1,  0.2,  1.0, 0.43, 0.72, .504
 0.1,  0.2,  1.0, .432, 0.72, .482
 0.1,  0.2,  1.0, .429, 0.62, .541
 0.1,  0.2,  1.0, .427, 0.84, .528
 0.1,  0.2,  1.0, .423, 0.62, .567
 0.1,  0.2,  1.0, .429,  0.8, .524
 0.1,  0.2,  1.0, 0.42,  0.8, .486
 0.1,  0.2,  1.0, .423, 0.76, .508
 0.1,  0.2,  1.0, .417,  0.7, .512
 0.1,  0.2,  1.0, .419, 0.68, .566
 0.1,  0.2,  1.0, .432, 0.84, .513
 0.1,  0.2,  1.0, .421, 0.78, .516
 0.1,  0.2,  1.0, .426, 0.74, .524
 0.1,  0.2,  1.0, .424,  0.7, 0.54
 0.1,  0.2,  1.0, .418, 0.86, .531
 0.1,  0.2,  1.0, .426, 0.76, .537
 0.1,  0.2,  1.0, 0.43, 0.75, 0.53
 0.1,  0.2,  1.0, .432, 0.88, .526
 0.1,  0.2,  1.0, .417, 0.74, 0.53
 0.1,  0.2,  1.0, .428, 0.76, .528
 0.1,  0.2,  1.0, .428, 0.72, .516
 0.1,  0.2,  1.0, .428, 0.68, .538
 0.1,  0.2,  1.0, .426, 0.72, .501
 0.1,  0.2,  1.0, .428,  0.7, 0.52
 0.1,  0.2,  1.0, .427, 0.76, .506
 0.1,  0.2,  1.0, 0.43, 0.76, .495
 0.1,  0.2,  1.0, .428, 0.72, .508
 0.1,  0.2,  1.0, .423,  0.7, .492
 0.1,  0.2,  1.0, .425, 0.62, .497
 0.1,  0.2,  1.0, .424,  0.7, .489
 0.1,  0.2,  1.0, .429, 0.74, .478
 0.1,  0.2,  1.0, .427,  0.8, .498
 0.1,  0.2,  1.0, .425, 0.78, .527
 0.1,  0.2,  1.0, .418, 0.82,  0.5
 0.1,  0.2,  1.0, .422, 0.68, .498
 0.1,  0.2,  1.0, .421, 0.62, .492
 0.1,  0.2,  1.0, .432,  0.7, .524
 0.1,  0.2,  1.0, .423, 0.84, .511
 0.1,  0.2,  1.0, 0.42,  0.8, .543
 0.1,  0.2,  1.0, .426, 0.64, .512
 0.1,  0.2,  1.0, .427, 0.76, .507
 0.1,  0.2,  1.0, .431, 0.72,  0.5
 0.1,  0.2,  1.0, .422, 0.62, .555
 0.1,  0.2,  1.0, .431, 0.64, .535
 0.1,  0.2,  1.0, .424,  0.8, 0.51
 0.1,  0.2,  1.0, .423, 0.72, .516
 0.1,  0.2,  1.0, 0.42, 0.76, .509
 0.1,  0.2,  1.0, .421, 0.66, .537
 0.1,  0.2,  1.0, .426, 0.64, .518
 0.1,  0.2,  1.0, .427, 0.78, .487
 0.1,  0.2,  1.0, .419, 0.72, 0.47
 0.1,  0.2,  1.0, .426, 0.68, .545
 0.1,  0.2,  1.0, .426, 0.78, .533
 0.1,  0.2,  1.0, .425, 0.74, .522
 0.1,  0.2,  1.0, .424, 0.88, .476
 0.1,  0.2,  1.0, .425, 0.78, .525
 0.1,  0.2,  1.0, .428,  0.8, .485
 0.1,  0.2,  1.0, .421, 0.84, .521
 0.1,  0.2,  1.0, .425, 0.76, .535
 0.1,  0.2,  1.0, .424, 0.88, .505
 0.1,  0.2,  1.0, .422,  0.8, .525
 0.1,  0.2,  1.0, .425, 0.86, .516
 0.1,  0.2,  1.0, .424,  0.8, .483
 0.1,  0.2,  1.0, .424,  0.8, .522
 0.1,  0.2,  1.0, .423, 0.78, .505
 0.1,  0.2,  1.0, .425, 0.82, .488
 0.1,  0.2,  1.0, .431,  0.7, .531
 0.1,  0.2,  1.0, .422, 0.72, .505
 0.1,  0.2,  1.0, .427, 0.66, 0.51
 0.1,  0.3,  1.0, 0.42, 0.88, .472
 0.1,  0.3,  1.0, .434, 0.74, 0.52
 0.1,  0.3,  1.0, .424, 0.76, .515
 0.1,  0.3,  1.0, .426,  0.7, .496
 0.1,  0.3,  1.0, .429, 0.84, .508
 0.1,  0.3,  1.0, .422,  0.8, .537
 0.1,  0.3,  1.0, .417, 0.76, 0.53
 0.1,  0.3,  1.0, .426,  0.8, .506
 0.1,  0.3,  1.0, .426, 0.68, .515
 0.1,  0.3,  1.0, .433, 0.76, .513
 0.1,  0.3,  1.0, .419, 0.68, .504
 0.1,  0.3,  1.0, .422, 0.82, .525
 0.1,  0.3,  1.0, .425, 0.84, .488
 0.1,  0.3,  1.0, .432, 0.62, .502
 0.1,  0.3,  1.0, .429, 0.78, .504
 0.1,  0.3,  1.0, .427, 0.76, .537
 0.1,  0.3,  1.0, .428, 0.76, .528
 0.1,  0.3,  1.0, .427, 0.82, .551
 0.1,  0.3,  1.0, .414, 0.76, .516
 0.1,  0.3,  1.0, .426, 0.64, .484
 0.1,  0.3,  1.0, .427, 0.66, .513
 0.1,  0.3,  1.0, .424, 0.72, .526
 0.1,  0.3,  1.0, .428,  0.7, .496
 0.1,  0.3,  1.0, .421, 0.78, .486
 0.1,  0.3,  1.0, 0.43, 0.68, .487
 0.1,  0.3,  1.0, 0.42, 0.72, .508
 0.1,  0.3,  1.0, .427, 0.72, .502
 0.1,  0.3,  1.0, .428, 0.88, .482
 0.1,  0.3,  1.0, .424,  0.7, .526
 0.1,  0.3,  1.0, .425, 0.74, .503
 0.1,  0.3,  1.0, .425, 0.76, .508
 0.1,  0.3,  1.0, .424, 0.74, .509
 0.1,  0.3,  1.0, .428,  0.7, .516
 0.1,  0.3,  1.0, .425, 0.72, .509
 0.1,  0.3,  1.0, .421, 0.84, .514
 0.1,  0.3,  1.0, .425, 0.74, 0.51
 0.1,  0.3,  1.0, .435, 0.78, .543
 0.1,  0.3,  1.0, .431, 0.66, .517
 0.1,  0.3,  1.0, .438, 0.72, 0.52
 0.1,  0.3,  1.0, .434, 0.76, .519
 0.1,  0.3,  1.0, .428,  0.8, .516
 0.1,  0.3,  1.0, .419, 0.78, .541
 0.1,  0.3,  1.0, .428,  0.7, .511
 0.1,  0.3,  1.0, .428, 0.78, .521
 0.1,  0.3,  1.0, .432,  0.8, .535
 0.1,  0.3,  1.0, .424, 0.68, .516
 0.1,  0.3,  1.0, .432, 0.76, .472
 0.1,  0.3,  1.0, .437, 0.76, .486
 0.1,  0.3,  1.0, .434, 0.74, .517
 0.1,  0.3,  1.0, .441, 0.82, .521
 0.1,  0.3,  1.0, .426, 0.68, .486
 0.1,  0.3,  1.0, .413, 0.84, .485
 0.1,  0.3,  1.0, .425, 0.68, .513
 0.1,  0.3,  1.0, 0.42, 0.78, .516
 0.1,  0.3,  1.0, .425, 0.74, .505
 0.1,  0.3,  1.0, .422, 0.72, .523
 0.1,  0.3,  1.0, .436, 0.78, .508
 0.1,  0.3,  1.0, .425, 0.74, .523
 0.1,  0.3,  1.0, .428, 0.78, .499
 0.1,  0.3,  1.0, .428, 0.78, .484
 0.1,  0.3,  1.0, 0.43, 0.72, .497
 0.1,  0.3,  1.0, .422, 0.62, .532
 0.1,  0.3,  1.0, .422, 0.82, 0.52
 0.1,  0.3,  1.0, .426, 0.76, .529
 0.1,  0.3,  1.0, .427,  0.8, .493
 0.1,  0.3,  1.0, .431,  0.8, .501
 0.1,  0.3,  1.0, 0.43, 0.84, 0.51
 0.1,  0.3,  1.0, .424, 0.74, .501
 0.1,  0.3,  1.0, .425, 0.82, .501
 0.1,  0.3,  1.0, 0.43, 0.72, .491
 0.1,  0.3,  1.0, .434, 0.76, .487
 0.1,  0.3,  1.0, 0.42,  0.8, .532
 0.1,  0.3,  1.0, .426, 0.72, .523
 0.1,  0.3,  1.0, .425, 0.78, .529
 0.1,  0.3,  1.0, .425, 0.72, .454
 0.1,  0.3,  1.0, .429, 0.68, 0.51
 0.1,  0.3,  1.0, .422, 0.66, .488
 0.1,  0.3,  1.0, .428, 0.82, .547
 0.1,  0.3,  1.0, .425, 0.72, .495
 0.1,  0.3,  1.0, .428, 0.84, .517
 0.1,  0.3,  1.0, .431, 0.78, .489
 0.1,  0.3,  1.0, .421, 0.82, .497
 0.1,  0.3,  1.0, .432, 0.82, .494
 0.1,  0.3,  1.0, .427, 0.76, .508
 0.1,  0.3,  1.0, .427, 0.76, .506
 0.1,  0.3,  1.0, .434, 0.82, .522
 0.1,  0.3,  1.0, .423, 0.62, .554
 0.1,  0.3,  1.0, .425, 0.72, .516
 0.1,  0.3,  1.0, .418, 0.68, .512
 0.1,  0.3,  1.0, .423, 0.68, .526
 0.1,  0.3,  1.0, .439,  0.7, .516
 0.1,  0.3,  1.0, .431, 0.68, 0.51
 0.1,  0.3,  1.0, .419, 0.68, .504
 0.1,  0.3,  1.0, .423, 0.76, .487
 0.1,  0.3,  1.0, 0.43,  0.8, .494
 0.1,  0.3,  1.0, .431, 0.82, .524
 0.1,  0.3,  1.0, .425, 0.74, .539
 0.1,  0.3,  1.0, .428, 0.82, .508
 0.1,  0.3,  1.0, .421,  0.8, .539
 0.1,  0.3,  1.0, .425, 0.76, 0.52
 0.1,  0.4,  1.0, .429,  0.7, .523
 0.1,  0.4,  1.0, .425, 0.76, .502
 0.1,  0.4,  1.0, .426, 0.86, .518
 0.1,  0.4,  1.0, .424, 0.72, .486
 0.1,  0.4,  1.0, 0.42, 0.78, 0.53
 0.1,  0.4,  1.0, .422, 0.68, .492
 0.1,  0.4,  1.0, .419,  0.7, .487
 0.1,  0.4,  1.0, .424, 0.74, .501
 0.1,  0.4,  1.0, 0.43, 0.78, .501
 0.1,  0.4,  1.0, .425,  0.7, .507
 0.1,  0.4,  1.0, .427, 0.88, .508
 0.1,  0.4,  1.0, .423, 0.84, .504
 0.1,  0.4,  1.0, .413, 0.72, 0.48
 0.1,  0.4,  1.0, .432, 0.92, .525
 0.1,  0.4,  1.0, 0.43,  0.8, .479
 0.1,  0.4,  1.0, .427,  0.8, .504
 0.1,  0.4,  1.0, .415, 0.82, .538
 0.1,  0.4,  1.0, .424,  0.9, .508
 0.1,  0.4,  1.0, .433, 0.74, .513
 0.1,  0.4,  1.0, .427, 0.86, .505
 0.1,  0.4,  1.0, .426, 0.86, .513
 0.1,  0.4,  1.0, 0.43, 0.66, .481
 0.1,  0.4,  1.0, .438, 0.78, .505
 0.1,  0.4,  1.0, .426,  0.8, .512
 0.1,  0.4,  1.0, .427,  0.8, .491
 0.1,  0.4,  1.0, .421, 0.74, 0.51
 0.1,  0.4,  1.0, .427, 0.76, .481
 0.1,  0.4,  1.0, .421, 0.82, .491
 0.1,  0.4,  1.0, .419, 0.74, .489
 0.1,  0.4,  1.0, .434,  0.8, .499
 0.1,  0.4,  1.0, .429, 0.62, .524
 0.1,  0.4,  1.0, 0.42, 0.76, .507
 0.1,  0.4,  1.0, .422, 0.84, 0.52
 0.1,  0.4,  1.0, .442, 0.76, .501
 0.1,  0.4,  1.0, .427,  0.8, .506
 0.1,  0.4,  1.0, .428, 0.78, .531
 0.1,  0.4,  1.0, .427,  0.8, .511
 0.1,  0.4,  1.0, .428, 0.82, .515
 0.1,  0.4,  1.0, .426, 0.72, .529
 0.1,  0.4,  1.0, .417, 0.72, .541
 0.1,  0.4,  1.0, .424, 0.72, .504
 0.1,  0.4,  1.0, .424, 0.66, 0.52
 0.1,  0.4,  1.0, .425, 0.72, 0.53
 0.1,  0.4,  1.0, .427, 0.94, .514
 0.1,  0.4,  1.0, .428, 0.58, .489
 0.1,  0.4,  1.0, .433, 0.64, .509
 0.1,  0.4,  1.0, .425, 0.84, .488
 0.1,  0.4,  1.0, .422, 0.84, .507
 0.1,  0.4,  1.0, .428, 0.78, .472
 0.1,  0.4,  1.0, .429, 0.78, .505
 0.1,  0.4,  1.0, .433, 0.82, .513
 0.1,  0.4,  1.0, .432, 0.76, .476
 0.1,  0.4,  1.0, .419, 0.74, .536
 0.1,  0.4,  1.0, .429, 0.76, .487
 0.1,  0.4,  1.0, 0.43, 0.64, .547
 0.1,  0.4,  1.0, .434, 0.72, .514
 0.1,  0.4,  1.0, .429, 0.76, .526
 0.1,  0.4,  1.0, .428, 0.76, .514
 0.1,  0.4,  1.0, .426, 0.84, .507
 0.1,  0.4,  1.0, .434, 0.74, .496
 0.1,  0.4,  1.0, .423,  0.9, .488
 0.1,  0.4,  1.0, .424, 0.76, .489
 0.1,  0.4,  1.0, .427, 0.84, .495
 0.1,  0.4,  1.0, .422, 0.78, 0.49
 0.1,  0.4,  1.0, .427, 0.76, .482
 0.1,  0.4,  1.0, 0.43, 0.78, .547
 0.1,  0.4,  1.0, .422, 0.82, .504
 0.1,  0.4,  1.0, .421, 0.76, .544
 0.1,  0.4,  1.0, .425, 0.74, .529
 0.1,  0.4,  1.0, .433,  0.7, .496
 0.1,  0.4,  1.0, .429, 0.76, .524
 0.1,  0.4,  1.0, 0.43,  0.7, .498
 0.1,  0.4,  1.0, 0.43, 0.78, 0.52
 0.1,  0.4,  1.0, .425,  0.8, .495
 0.1,  0.4,  1.0, .431,  0.8, .524
 0.1,  0.4,  1.0, .432,  0.8, .513
 0.1,  0.4,  1.0, .432, 0.78, .508
 0.1,  0.4,  1.0, .417,  0.8, .516
 0.1,  0.4,  1.0, .431, 0.64, .497
 0.1,  0.4,  1.0, .425, 0.74, .468
 0.1,  0.4,  1.0, .423, 0.76, .529
 0.1,  0.4,  1.0, .424,  0.8, .496
 0.1,  0.4,  1.0, .425,  0.8, .476
 0.1,  0.4,  1.0, .421, 0.84, .518
 0.1,  0.4,  1.0, .424,  0.8, .512
 0.1,  0.4,  1.0, .425, 0.84, .523
 0.1,  0.4,  1.0, .426, 0.86, .495
 0.1,  0.4,  1.0, 0.42, 0.74, .497
 0.1,  0.4,  1.0, .422, 0.78, .489
 0.1,  0.4,  1.0, .421, 0.66, .551
 0.1,  0.4,  1.0, .426, 0.78, .512
 0.1,  0.4,  1.0, .431, 0.86, .525
 0.1,  0.4,  1.0, .425, 0.76, .512
 0.1,  0.4,  1.0, .425, 0.68, 0.51
 0.1,  0.4,  1.0, .433,  0.8, .524
 0.1,  0.4,  1.0, .431, 0.82, .492
 0.1,  0.4,  1.0, .425, 0.84, 0.54
 0.1,  0.4,  1.0, .427, 0.74, .538
 0.1,  0.4,  1.0, .429, 0.86, .512
 0.1,  0.4,  1.0, .424, 0.78, .502
 0.1,  0.5,  1.0, .434, 0.76, .497
 0.1,  0.5,  1.0, .424, 0.74, .507
 0.1,  0.5,  1.0, .426, 0.65, .489
 0.1,  0.5,  1.0, .426, 0.82, .495
 0.1,  0.5,  1.0, .423, 0.86, .505
 0.1,  0.5,  1.0, .427, 0.74, .525
