0.75,  0.0,  0.0,  0.2,  1.0, 0.25,  1.0,  1.0, .408, 0.98, .408, -.12, 0.25,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  1.0,  0.5,  1.0,  1.0, .408, 0.98, .407, -.23,  0.5,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  1.0, 0.75,  1.0,  1.0, .408, 0.98, .406, -.37, 0.75,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  1.0,  1.0,  1.0,  1.0, .408, 0.98, .407, -0.5,  1.0,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  1.0, 1.25,  1.0,  1.0, .408, 0.98, .407, -.64, 1.25,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  1.0,  1.5,  1.0,  1.0, .408, .955, 0.41, -0.8, 1.33, .996, -.76
0.75,  0.0,  0.0,  0.2,  1.0, 1.75,  1.0,  1.0, .408, .908, .417, -.92, 1.11, .944, -.51
0.75,  0.0,  0.0,  0.2,  1.0,  2.0,  1.0,  1.0, .408, .802, .436, -1.0, -1.0, .807, .903
0.75,  0.0,  0.0,  0.2,  1.0,  1.0, 0.25,  1.0, .408, .804, .435, -0.5, -0.5, .191, .211
0.75,  0.0,  0.0,  0.2,  1.0,  1.0,  0.5,  1.0, .408, .801, .435, -0.5, -0.5, .403, .424
0.75,  0.0,  0.0,  0.2,  1.0,  1.0, 0.75,  1.0, .408, 0.98, .406, -0.5,  1.0, 0.75, -.56
0.75,  0.0,  0.0,  0.2,  1.0,  1.0,  1.0,  1.0, .408, 0.98, .407, -0.5,  1.0,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  1.0,  1.0, 1.25,  1.0, .408, 0.98, .407, -0.5,  1.0, 1.25, -.94
0.75,  0.0,  0.0,  0.2,  1.0,  1.0,  1.5,  1.0, .408, 0.98, .407, -0.5,  1.0,  1.5, -1.1
0.75,  0.0,  0.0,  0.2,  1.0,  1.0, 1.75,  1.0, .408, 0.98, .407, -0.5,  1.0, 1.75, -1.3
0.75,  0.0,  0.0,  0.2,  1.0,  1.0,  2.0,  1.0, .408, 0.98, .407, -0.5,  1.0,  2.0, -1.5
0.75,  0.0,  0.0,  0.2,  2.0, 0.25,  1.0,  1.0, .408, 0.98, .408, -.12, 0.25,  1.0, -.74
0.75,  0.0,  0.0,  0.2,  2.0,  0.5,  1.0,  1.0, .408, 0.98, .408, -.24,  0.5,  1.0, -.74
0.75,  0.0,  0.0,  0.2,  2.0, 0.75,  1.0,  1.0, .408, 0.98, .406, -.31, 0.75,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  2.0,  1.0,  1.0,  1.0, .408, 0.98, .407, -.44,  1.0,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  2.0, 1.25,  1.0,  1.0, .408, 0.98, .406, -0.6, 1.25,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  2.0,  1.5,  1.0,  1.0, .408, .979, .407, -.73,  1.5,  1.0, -.76
0.75,  0.0,  0.0,  0.2,  2.0, 1.75,  1.0,  1.0, .408, .957, 0.41, -.88, 1.63, .966, -.83
0.75,  0.0,  0.0,  0.2,  2.0,  2.0,  1.0,  1.0, .408, .814, .435, -1.0, -1.0, .775, .828
0.75,  0.0,  0.0,  0.2,  2.0,  1.0, 0.25,  1.0, .408, .798, .435, -.46, -.46, .198, .216
0.75,  0.0,  0.0,  0.2,  2.0,  1.0,  0.5,  1.0, .408, .836, .428, -.47, -.07, 0.41, .174
0.75,  0.0,  0.0,  0.2,  2.0,  1.0, 0.75,  1.0, .408, 0.98, .407, -.46,  1.0, 0.75, -.56
0.75,  0.0,  0.0,  0.2,  2.0,  1.0,  1.0,  1.0, .408, 0.98, .406, -.47,  1.0,  1.0, -.75
0.75,  0.0,  0.0,  0.2,  2.0,  1.0, 1.25,  1.0, .408, 0.98, .407, -.45,  1.0, 1.25, -.94
0.75,  0.0,  0.0,  0.2,  2.0,  1.0,  1.5,  1.0, .408, 0.98, .407, -.45,  1.0,  1.5, -1.1
0.75,  0.0,  0.0,  0.2,  2.0,  1.0, 1.75,  1.0, .408, 0.98, .407, -.46,  1.0, 1.75, -1.3
